#cassette	component type or tool_uses	tool or CV term	pub_curies	internal_note	where tool data came from
FBti0167947_cas	tagged_with	FBto0000027	FBrf0225747		TOOL DATA from: FBal0302198
FBti0168255_cas	carries_tool	FBto0000349	FBrf0222897		TOOL DATA from: FBal0290693
FBti0168256_cas	carries_tool	FBto0000349	FBrf0222897		TOOL DATA from: FBal0290696
FBti0168257_cas	carries_tool	FBto0000349	FBrf0222897		TOOL DATA from: FBal0290691
FBti0168257_cas	carries_tool	FBto0000356	FBrf0222897		TOOL DATA from: FBal0290691
FBti0168258_cas	carries_tool	FBto0000349	FBrf0222897		TOOL DATA from: FBal0290692
FBti0168258_cas	carries_tool	FBto0000356	FBrf0222897		TOOL DATA from: FBal0290692
FBti0168259_cas	carries_tool	FBto0000349	FBrf0222897		TOOL DATA from: FBal0290700
FBti0168260_cas	carries_tool	FBto0000349	FBrf0222897		TOOL DATA from: FBal0290698
FBti0168261_cas	carries_tool	FBto0000349	FBrf0222897		TOOL DATA from: FBal0290699
FBti0168262_cas	carries_tool	FBto0000349	FBrf0222897		TOOL DATA from: FBal0290694
FBti0168263_cas	carries_tool	FBto0000349	FBrf0222897		TOOL DATA from: FBal0290695
FBti0168264_cas	carries_tool	FBto0000349	FBrf0206292		TOOL DATA from: FBal0299596
FBti0168265_cas	carries_tool	FBto0000349	FBrf0206292		TOOL DATA from: FBal0299597
FBti0168266_cas	carries_tool	FBto0000349	FBrf0206292		TOOL DATA from: FBal0299598
FBti0168271_cas	tagged_with	FBto0000093	FBrf0207169		TOOL DATA from: FBal0247443
FBti0168272_cas	carries_tool	FBto0000356	FBrf0207169		TOOL DATA from: FBal0247440
FBti0168272_cas	tagged_with	FBto0000093	FBrf0207169		TOOL DATA from: FBal0247440
FBti0168273_cas	tagged_with	FBto0000093	FBrf0207169		TOOL DATA from: FBal0247445
FBti0168274_cas	tagged_with	FBto0000093	FBrf0207169		TOOL DATA from: FBal0247444
FBti0168275_cas	tagged_with	FBto0000093	FBrf0207169		TOOL DATA from: FBal0247441
FBti0168276_cas	tagged_with	FBto0000093	FBrf0207169		TOOL DATA from: FBal0247442
FBti0168281_cas	carries_tool	FBto0000318	FBrf0227185		TOOL DATA from: FBal0301552
FBti0168281_cas	carries_tool	FBto0000356	FBrf0227185		TOOL DATA from: FBal0301552
FBti0168282_cas	tagged_with	FBto0000077	FBrf0227185		TOOL DATA from: FBal0301551
FBti0168283_cas	carries_tool	FBto0000318	FBrf0227185		TOOL DATA from: FBal0301553
FBti0168283_cas	carries_tool	FBto0000356	FBrf0227185		TOOL DATA from: FBal0301553
FBti0168286_cas				FTA: unable to add tool information from FBal0258331 (failed 'is_represented_at_alliance_as' cross-check)	
FBti0168288_cas	carries_tool	FBto0000349	FBrf0220990		TOOL DATA from: FBal0296113
FBti0168289_cas				FTA: unable to add tool information from FBal0296114 (failed 'is_represented_at_alliance_as' cross-check)	
FBti0168290_cas	carries_tool	FBto0000349	FBrf0220990		TOOL DATA from: FBal0296115
FBti0168293_cas	carries_tool	FBto0000349	FBrf0213095		TOOL DATA from: FBal0258132
FBti0168294_cas	carries_tool	FBto0000349	FBrf0213095		TOOL DATA from: FBal0258131
FBti0168296_cas	carries_tool	FBto0000349	FBrf0227107		TOOL DATA from: FBal0302850
FBti0168297_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168297_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168297_cas	carries_tool	FBto0000349	FBrf0236990		TOOL DATA from: FBal0285936
FBti0168297_cas	carries_tool	FBto0000356	FBrf0236990		TOOL DATA from: FBal0285936
FBti0168297_cas	carries_tool	FBto0000349	FBrf0236990		TOOL DATA from: FBal0285940
FBti0168297_cas	carries_tool	FBto0000356	FBrf0236990		TOOL DATA from: FBal0285940
FBti0168298_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168298_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168298_cas	carries_tool	FBto0000349	FBrf0236990		TOOL DATA from: FBal0285934
FBti0168298_cas	carries_tool	FBto0000356	FBrf0236990		TOOL DATA from: FBal0285934
FBti0168298_cas	carries_tool	FBto0000349	FBrf0236990		TOOL DATA from: FBal0285939
FBti0168298_cas	carries_tool	FBto0000356	FBrf0236990		TOOL DATA from: FBal0285939
FBti0168299_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168299_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168299_cas	carries_tool	FBto0000349	FBrf0236990		TOOL DATA from: FBal0285938
FBti0168299_cas	carries_tool	FBto0000356	FBrf0236990		TOOL DATA from: FBal0285938
FBti0168299_cas	carries_tool	FBto0000349	FBrf0236990		TOOL DATA from: FBal0285942
FBti0168299_cas	carries_tool	FBto0000356	FBrf0236990		TOOL DATA from: FBal0285942
FBti0168300_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168300_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168300_cas	carries_tool	FBto0000349	FBrf0236990		TOOL DATA from: FBal0285937
FBti0168300_cas	carries_tool	FBto0000356	FBrf0236990		TOOL DATA from: FBal0285937
FBti0168300_cas	carries_tool	FBto0000349	FBrf0236990		TOOL DATA from: FBal0285941
FBti0168300_cas	carries_tool	FBto0000356	FBrf0236990		TOOL DATA from: FBal0285941
FBti0168301_cas	carries_tool	FBto0000349	FBrf0206395		TOOL DATA from: FBal0219599
FBti0168301_cas	tagged_with	FBto0000045	FBrf0206395		TOOL DATA from: FBal0219599
FBti0168302_cas	carries_tool	FBto0000349	FBrf0206395		TOOL DATA from: FBal0219600
FBti0168302_cas	tagged_with	FBto0000045	FBrf0206395		TOOL DATA from: FBal0219600
FBti0168303_cas	carries_tool	FBto0000349	FBrf0206395		TOOL DATA from: FBal0219597
FBti0168303_cas	tagged_with	FBto0000045	FBrf0206395		TOOL DATA from: FBal0219597
FBti0168304_cas	carries_tool	FBto0000349	FBrf0206395		TOOL DATA from: FBal0219595
FBti0168304_cas	tagged_with	FBto0000045	FBrf0206395		TOOL DATA from: FBal0219595
FBti0168305_cas	carries_tool	FBto0000349	FBrf0206395		TOOL DATA from: FBal0219598
FBti0168305_cas	tagged_with	FBto0000045	FBrf0206395		TOOL DATA from: FBal0219598
FBti0168306_cas	carries_tool	FBto0000349	FBrf0206395		TOOL DATA from: FBal0219596
FBti0168306_cas	tagged_with	FBto0000045	FBrf0206395		TOOL DATA from: FBal0219596
FBti0168307_cas	carries_tool	FBto0000349	FBrf0206395		TOOL DATA from: FBal0219601
FBti0168307_cas	tagged_with	FBto0000045	FBrf0206395		TOOL DATA from: FBal0219601
FBti0168308_cas	carries_tool	FBto0000349	FBrf0206395		TOOL DATA from: FBal0219609
FBti0168309_cas	carries_tool	FBto0000349	FBrf0206395		TOOL DATA from: FBal0219605
FBti0168310_cas	carries_tool	FBto0000349	FBrf0206395		TOOL DATA from: FBal0219607
FBti0168311_cas	carries_tool	FBto0000349	FBrf0206395		TOOL DATA from: FBal0219606
FBti0168312_cas	carries_tool	FBto0000349	FBrf0206395		TOOL DATA from: FBal0219608
FBti0168313_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168313_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168314_cas	carries_tool	FBto0000356	FBrf0214460		TOOL DATA from: FBal0284721
FBti0168321_cas				FTA: unable to add tool information from FBal0285379 (failed 'is_represented_at_alliance_as' cross-check)	
FBti0168324_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168324_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168325_cas	carries_tool	FBto0000349	FBrf0217785		TOOL DATA from: FBal0267901
FBti0168325_cas	carries_tool	FBto0000356	FBrf0217785		TOOL DATA from: FBal0267901
FBti0168326_cas	carries_tool	FBto0000349	FBrf0217785		TOOL DATA from: FBal0267900
FBti0168326_cas	carries_tool	FBto0000356	FBrf0217785		TOOL DATA from: FBal0267900
FBti0168329_cas	carries_tool	FBto0000349	FBrf0215272		TOOL DATA from: FBal0263893
FBti0168329_cas	carries_tool	FBto0000356	FBrf0215272		TOOL DATA from: FBal0263893
FBti0168330_cas	carries_tool	FBto0000349	FBrf0215272		TOOL DATA from: FBal0263889
FBti0168330_cas	carries_tool	FBto0000356	FBrf0215272		TOOL DATA from: FBal0263889
FBti0168331_cas	carries_tool	FBto0000349	FBrf0215272		TOOL DATA from: FBal0263894
FBti0168331_cas	carries_tool	FBto0000356	FBrf0215272		TOOL DATA from: FBal0263894
FBti0168332_cas	carries_tool	FBto0000349	FBrf0215272		TOOL DATA from: FBal0263891
FBti0168332_cas	carries_tool	FBto0000356	FBrf0215272		TOOL DATA from: FBal0263891
FBti0168333_cas	carries_tool	FBto0000349	FBrf0215272		TOOL DATA from: FBal0263887
FBti0168333_cas	carries_tool	FBto0000356	FBrf0215272		TOOL DATA from: FBal0263887
FBti0168334_cas	tagged_with	FBto0000077	FBrf0226803		TOOL DATA from: FBal0301091
FBti0168335_cas	tagged_with	FBto0000077	FBrf0226803		TOOL DATA from: FBal0301090
FBti0168336_cas	encodes_tool	FBto0000027			TOOL DATA from: FBtp0099213
FBti0168336_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099213
FBti0168336_cas	tagged_with	FBto0000291	FBrf0213278		TOOL DATA from: FBal0258329
FBti0168337_cas	carries_tool	FBto0000349	FBrf0224710		TOOL DATA from: FBal0297980
FBti0168338_cas	carries_tool	FBto0000349	FBrf0224710		TOOL DATA from: FBal0297978
FBti0168339_cas	carries_tool	FBto0000349	FBrf0224710		TOOL DATA from: FBal0297979
FBti0168340_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168340_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168343_cas	carries_tool	FBto0000318	FBrf0205027		TOOL DATA from: FBal0215825
FBti0168344_cas	carries_tool	FBto0000318	FBrf0205027		TOOL DATA from: FBal0215824
FBti0168345_cas	carries_tool	FBto0000318	FBrf0205027		TOOL DATA from: FBal0215827
FBti0168346_cas	carries_tool	FBto0000318	FBrf0205027		TOOL DATA from: FBal0215826
FBti0168347_cas	carries_tool	FBto0000318	FBrf0205027		TOOL DATA from: FBal0304355
FBti0168348_cas	carries_tool	FBto0000318	FBrf0205027		TOOL DATA from: FBal0304356
FBti0168349_cas	carries_tool	FBto0000318	FBrf0205027		TOOL DATA from: FBal0304357
FBti0168350_cas	carries_tool	FBto0000318	FBrf0205027		TOOL DATA from: FBal0304358
FBti0168351_cas	carries_tool	FBto0000318	FBrf0205027		TOOL DATA from: FBal0304359
FBti0168364_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168364_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168364_cas	carries_tool	FBto0000318	FBrf0207727		TOOL DATA from: FBal0243962
FBti0168364_cas	carries_tool	FBto0000318	FBrf0207727		TOOL DATA from: FBal0243964
FBti0168365_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168365_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168367_cas	carries_tool	FBto0000356	FBrf0207727		TOOL DATA from: FBal0243958
FBti0168368_cas	carries_tool	FBto0000345	FBrf0207727		TOOL DATA from: FBal0243961
FBti0168375_cas				FTA: unable to add tool information from FBal0302628 (failed 'is_represented_at_alliance_as' cross-check)	
FBti0168378_cas	carries_tool	FBto0000318	FBrf0223447		TOOL DATA from: FBal0297878
FBti0168378_cas	carries_tool	FBto0000349	FBrf0223447		TOOL DATA from: FBal0297878
FBti0168378_cas	tagged_with	FBtoq0000081	FBrf0223447		TOOL DATA from: FBal0297878
FBti0168379_cas	encodes_tool	FBto0000118			TOOL DATA from: FBtp0099211
FBti0168379_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099211
FBti0168379_cas	carries_tool	FBto0000320	FBrf0223447		TOOL DATA from: FBal0297877
FBti0168379_cas	carries_tool	FBto0000349	FBrf0223447		TOOL DATA from: FBal0297877
FBti0168379_cas	carries_tool	FBto0000356	FBrf0223447		TOOL DATA from: FBal0297877
FBti0168379_cas	carries_tool	FBto0000320	FBrf0223447		TOOL DATA from: FBal0297880
FBti0168379_cas	carries_tool	FBto0000349	FBrf0223447		TOOL DATA from: FBal0297880
FBti0168379_cas	carries_tool	FBto0000356	FBrf0223447		TOOL DATA from: FBal0297880
FBti0168379_cas	tagged_with	FBto0000205	FBrf0223447		TOOL DATA from: FBal0297880
FBti0168380_cas	encodes_tool	FBto0000167			TOOL DATA from: FBtp0099206
FBti0168380_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099206
FBti0168380_cas	carries_tool	FBto0000318	FBrf0223447		TOOL DATA from: FBal0297879
FBti0168380_cas	carries_tool	FBto0000349	FBrf0223447		TOOL DATA from: FBal0297879
FBti0168380_cas	carries_tool	FBto0000318	FBrf0223447		TOOL DATA from: FBal0297885
FBti0168380_cas	carries_tool	FBto0000349	FBrf0223447		TOOL DATA from: FBal0297885
FBti0168381_cas	carries_tool	FBto0000349	FBrf0223447		TOOL DATA from: FBal0297882
FBti0168381_cas	tagged_with	FBto0000077	FBrf0223447		TOOL DATA from: FBal0297882
FBti0168382_cas	carries_tool	FBto0000318	FBrf0223447|FBrf0223769		TOOL DATA from: FBal0297883
FBti0168382_cas	carries_tool	FBto0000349	FBrf0223447|FBrf0223769		TOOL DATA from: FBal0297883
FBti0168383_cas	carries_tool	FBto0000318	FBrf0223769		TOOL DATA from: FBal0297884
FBti0168383_cas	carries_tool	FBto0000349	FBrf0223769		TOOL DATA from: FBal0297884
FBti0168383_cas	tagged_with	FBto0000077	FBrf0223769		TOOL DATA from: FBal0297884
FBti0168383_cas	tagged_with	FBto0000213	FBrf0223769		TOOL DATA from: FBal0297884
FBti0168384_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168384_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168384_cas	carries_tool	FBto0000349	FBrf0223447		TOOL DATA from: FBal0297874
FBti0168384_cas	carries_tool	FBto0000349	FBrf0223447		TOOL DATA from: FBal0297876
FBti0168385_cas	tagged_with	FBto0000065	FBrf0226212		TOOL DATA from: FBal0298753
FBti0168393_cas	carries_tool	FBto0000349	FBrf0227448		TOOL DATA from: FBal0302651
FBti0168394_cas	carries_tool	FBto0000349	FBrf0227448		TOOL DATA from: FBal0302650
FBti0168395_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168395_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168396_cas	carries_tool	FBto0000349	FBrf0205704		TOOL DATA from: FBal0264684
FBti0168397_cas	carries_tool	FBto0000349	FBrf0205704		TOOL DATA from: FBal0264686
FBti0168399_cas	carries_tool	FBto0000318	FBrf0209048		TOOL DATA from: FBal0286279
FBti0168400_cas	carries_tool	FBto0000318	FBrf0209048		TOOL DATA from: FBal0286277
FBti0168401_cas	carries_tool	FBto0000318	FBrf0209048		TOOL DATA from: FBal0286278
FBti0168402_cas	carries_tool	FBto0000318	FBrf0209048		TOOL DATA from: FBal0286274
FBti0168403_cas	carries_tool	FBto0000318	FBrf0209048		TOOL DATA from: FBal0286275
FBti0168404_cas	carries_tool	FBto0000318	FBrf0209048		TOOL DATA from: FBal0286276
FBti0168405_cas	carries_tool	FBto0000318	FBrf0191487		TOOL DATA from: FBal0191252
FBti0168405_cas	carries_tool	FBto0000904	FBrf0191487		TOOL DATA from: FBal0191252
FBti0168406_cas	carries_tool	FBto0000318	FBrf0191487		TOOL DATA from: FBal0189625
FBti0168406_cas	carries_tool	FBto0000904	FBrf0191487		TOOL DATA from: FBal0189625
FBti0168407_cas	carries_tool	FBto0000318	FBrf0191487		TOOL DATA from: FBal0190085
FBti0168408_cas	carries_tool	FBto0000318	FBrf0191487		TOOL DATA from: FBal0190371
FBti0168408_cas	carries_tool	FBto0000904	FBrf0191487		TOOL DATA from: FBal0190371
FBti0168409_cas	carries_tool	FBto0000318	FBrf0191487		TOOL DATA from: FBal0190295
FBti0168409_cas	carries_tool	FBto0000904	FBrf0191487		TOOL DATA from: FBal0190295
FBti0168410_cas	carries_tool	FBto0000318	FBrf0191487		TOOL DATA from: FBal0190109
FBti0168411_cas	carries_tool	FBto0000318	FBrf0191487		TOOL DATA from: FBal0191136
FBti0168412_cas	carries_tool	FBto0000318	FBrf0191487		TOOL DATA from: FBal0179807
FBti0168413_cas	carries_tool	FBto0000318	FBrf0191487		TOOL DATA from: FBal0189853
FBti0168413_cas	carries_tool	FBto0000904	FBrf0191487		TOOL DATA from: FBal0189853
FBti0168422_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301947
FBti0168423_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301921
FBti0168424_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301910
FBti0168425_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301946
FBti0168426_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301926
FBti0168427_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168427_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168427_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301935
FBti0168428_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301943
FBti0168428_cas	carries_tool	FBto0000356	FBrf0227064		TOOL DATA from: FBal0301943
FBti0168429_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301922
FBti0168429_cas	carries_tool	FBto0000356	FBrf0227064		TOOL DATA from: FBal0301922
FBti0168430_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301902
FBti0168431_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301952
FBti0168432_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301951
FBti0168432_cas	carries_tool	FBto0000356	FBrf0227064		TOOL DATA from: FBal0301951
FBti0168433_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301924
FBti0168434_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301895
FBti0168434_cas	carries_tool	FBto0000356	FBrf0227064		TOOL DATA from: FBal0301895
FBti0168434_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301896
FBti0168434_cas	carries_tool	FBto0000356	FBrf0227064		TOOL DATA from: FBal0301896
FBti0168435_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301901
FBti0168435_cas	carries_tool	FBto0000356	FBrf0227064		TOOL DATA from: FBal0301901
FBti0168436_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168436_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168436_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301927
FBti0168437_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168437_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168437_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301905
FBti0168438_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301907
FBti0168439_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301925
FBti0168439_cas	carries_tool	FBto0000356	FBrf0227064		TOOL DATA from: FBal0301925
FBti0168440_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301950
FBti0168441_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168441_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168441_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301948
FBti0168442_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301945
FBti0168443_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301915
FBti0168444_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301908
FBti0168444_cas	carries_tool	FBto0000356	FBrf0227064		TOOL DATA from: FBal0301908
FBti0168445_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301912
FBti0168447_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301932
FBti0168448_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301918
FBti0168448_cas	carries_tool	FBto0000356	FBrf0227064		TOOL DATA from: FBal0301918
FBti0168449_cas				FTA: unable to add tool information from FBal0301939 (failed 'is_represented_at_alliance_as' cross-check)	
FBti0168450_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168450_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168450_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301936
FBti0168451_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301929
FBti0168452_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301889
FBti0168453_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301937
FBti0168453_cas	carries_tool	FBto0000356	FBrf0227064		TOOL DATA from: FBal0301937
FBti0168454_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301914
FBti0168454_cas	carries_tool	FBto0000356	FBrf0227064		TOOL DATA from: FBal0301914
FBti0168455_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301938
FBti0168455_cas	carries_tool	FBto0000356	FBrf0227064		TOOL DATA from: FBal0301938
FBti0168456_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301934
FBti0168457_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301892
FBti0168457_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301893
FBti0168458_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301928
FBti0168459_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168459_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168459_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301944
FBti0168460_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301933
FBti0168461_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301903
FBti0168462_cas	encodes_tool	FBto0000135			TOOL DATA from: FBtp0099204
FBti0168462_cas	tool_uses	promoter trap			TOOL DATA from: FBtp0099204
FBti0168462_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301906
FBti0168463_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301899
FBti0168463_cas	carries_tool	FBto0000349	FBrf0258709		TOOL DATA from: FBal0400742
FBti0168464_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301953
FBti0168465_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301911
FBti0168466_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0287802
FBti0168466_cas	carries_tool	FBto0000356	FBrf0227064		TOOL DATA from: FBal0287802
FBti0168467_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301909
FBti0168468_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301894
FBti0168469_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301920
FBti0168470_cas	carries_tool	FBto0000349	FBrf0227064		TOOL DATA from: FBal0301904
